Date,Open,High,Low,Close,Adj Close,Volume
2012-06-21,3.800000,3.820000,3.740000,3.760000,2.987887,23786600
2012-06-22,3.640000,3.640000,3.600000,3.620000,2.876636,72024700
2012-06-25,3.620000,3.640000,3.540000,3.540000,2.813064,33735800
2012-06-26,3.540000,3.580000,3.520000,3.540000,2.813064,29231100
2012-06-27,3.580000,3.600000,3.560000,3.580000,2.844850,23094200
2012-06-28,3.600000,3.600000,3.540000,3.560000,2.828957,30538000
2012-06-29,3.600000,3.640000,3.560000,3.580000,2.844850,49062600
2012-07-02,3.660000,3.680000,3.600000,3.680000,2.924315,33096200
2012-07-03,3.680000,3.740000,3.660000,3.680000,2.924315,33129900
2012-07-04,3.720000,3.740000,3.660000,3.680000,2.924315,37098100
2012-07-05,3.700000,3.780000,3.680000,3.740000,2.971994,85051400
2012-07-06,3.720000,3.740000,3.680000,3.700000,2.940208,29022600
2012-07-09,3.700000,3.700000,3.640000,3.660000,2.908422,16177400
2012-07-10,3.660000,3.700000,3.640000,3.700000,2.940208,35724900
2012-07-11,3.660000,3.680000,3.640000,3.660000,2.908422,28378200
2012-07-12,3.640000,3.660000,3.600000,3.600000,2.860743,21650700
2012-07-13,3.620000,3.660000,3.600000,3.660000,2.908422,15463200
2012-07-16,3.680000,3.680000,3.640000,3.660000,2.908422,11419100
2012-07-17,3.700000,3.780000,3.680000,3.780000,3.003780,64678200
2012-07-18,3.780000,3.820000,3.740000,3.760000,2.987887,45090100
2012-07-19,3.800000,3.860000,3.760000,3.800000,3.019673,63072200
2012-07-20,3.840000,3.840000,3.760000,3.780000,3.003780,28608800
2012-07-23,3.700000,3.700000,3.620000,3.640000,2.892529,38666100
2012-07-24,3.620000,3.660000,3.600000,3.640000,2.892529,31136600
2012-07-25,3.640000,3.640000,3.600000,3.620000,2.876636,23352200
2012-07-26,3.640000,3.660000,3.560000,3.560000,2.828957,25606300
2012-07-27,3.600000,3.620000,3.520000,3.540000,2.813064,39524100
2012-07-30,3.560000,3.600000,3.540000,3.560000,2.828957,18082900
2012-07-31,3.580000,3.620000,3.560000,3.620000,2.876636,26914600
2012-08-01,3.600000,3.620000,3.580000,3.620000,2.876636,12812700
2012-08-03,3.580000,3.600000,3.540000,3.580000,2.844850,17108500
2012-08-06,3.620000,3.640000,3.600000,3.600000,2.860743,17658200
2012-08-07,3.620000,3.680000,3.600000,3.680000,2.924315,59995600
2012-08-08,3.740000,3.860000,3.740000,3.820000,3.035566,223134200
2012-08-09,3.840000,3.860000,3.760000,3.760000,2.987887,65576700
2012-08-10,3.780000,3.800000,3.720000,3.800000,3.019673,32913500
2012-08-14,3.820000,3.820000,3.760000,3.800000,3.019673,64659700
2012-08-15,3.800000,3.820000,3.780000,3.820000,3.035566,28133600
2012-08-16,3.840000,3.880000,3.800000,3.800000,3.019673,58940500
2012-08-17,3.840000,3.860000,3.800000,3.860000,3.067352,49023600
2012-08-20,3.840000,3.940000,3.820000,3.940000,3.130924,85882900
2012-08-21,3.960000,4.000000,3.940000,3.940000,3.130924,71124700
2012-08-22,3.920000,3.960000,3.880000,3.900000,3.099138,31233100
2012-08-23,3.920000,3.960000,3.900000,3.920000,3.115031,41426000
